Name,Flux,Error_flux
Hgamma,2.2966699264035197,0.21368577028301028
Hbeta,6.265109456235858,0.484572933040443
Halpha,28.34197440942626,0.46098211837014363
[SII]6716,2.9671052185851687,0.17014916413786998
[SII]6731,2.5526322126043803,0.13484941816437998
HeII4687,0.13256743708124183,0.04603485356439112
HeI5876,0.9083466604613658,0.06730591097303246
[OIII]4959,2.413415720418512,0.39587286790471315
[OIII]5007,7.240247161255536,0.39587286790471315
[OI]6300,0.2606828392643887,0.046194918500287487
[OI]6364,0.08689427975479623,0.046194918500287487
[NII]6548,2.1505735940778314,0.21632116869278414
[NII]6583,6.451720782233494,0.21632116869278414
