Name,Flux,Error_flux
Hgamma,0.25676556667431777,0.029160048961181923
Hbeta,0.5193206420450451,0.049752662814976735
Halpha,1.0983021940358197,0.04185415537969299
[SII]6716,0.22100340346259478,0.01265281709922515
[SII]6731,0.15129319981132588,0.008866272644824893
HeII4687,0.010734041264007796,0.0029967731920864738
HeI5876,0.06000667148443783,0.0025343971584195833
[OIII]4959,0.09249690277987119,0.022565034829432347
[OIII]5007,0.27749070833961353,0.022565034829432347
[OI]6300,0.0517462588645844,0.0065061054333332225
[OI]6364,0.017248752954861467,0.0065061054333332225
[NII]6548,0.11058806433390483,0.015193426724405457
[NII]6583,0.3317641930017145,0.015193426724405457
