Name,Flux,Error_flux
Hgamma,0.7256218736965556,0.08640437276808967
Hbeta,1.7593306175222323,0.14535431200495172
Halpha,7.908289655230177,0.1047523623087798
[SII]6731_d1,0.24699945832066164,0.12806491872342463
[SII]6731_d2,1.9063195155178547,0.14552436272046282
HeII4687,0.04453178560105628,0.01365811923586844
HeI5876,0.10130932784268347,0.0330003766742061
[OIII]4959,0.36275315470707536,0.11512463323211872
[OIII]5007,1.0882594641212262,0.11512463323211872
[OI]6300,0.17554831252648362,0.03491664695708535
[OI]6364,0.058516104175494535,0.03491664695708535
[NII]6548,0.80094820782661,0.09014507344241933
[NII]6583,2.40284462347983,0.09014507344241933
