Name,Flux,Error_flux
Hgamma,3.8736245102457607,0.45899097770356534
Hbeta,10.062416544184636,0.8094850110042024
Halpha,45.74509001928984,0.5955227176154502
[SII]6716,3.8902815562361717,0.3149368785643518
[SII]6731,3.3944113419378925,0.21436397547453193
HeII4687,0.10685093800639565,0.026743259235227055
HeI5876,1.6446802126144127,0.12898679659271625
[OIII]4959,4.606339353568903,0.9089433922086758
[OIII]5007,13.81901806070671,0.9089433922086758
[OI]6300,0.4239032085976963,0.04750802348489673
[OI]6364,0.14130106953256544,0.04750802348489673
[NII]6548,3.2280513766633847,0.4755931867220795
[NII]6583,9.684154129990155,0.4755931867220795
