Name,Flux,Error_flux
Hgamma,1.028856156303298,0.4165301292193553
Hbeta,1.0168593735617042,0.3320053503853482
Halpha,1.5950973909614903,0.21423608281494236
[SII]6716,0.3337240091068465,0.04321909139533756
[SII]6731,0.4133059502112347,0.04989243705861269
HeII4687,0.007812378348332136,0.009930984776160232
HeI5876,0.22965577130290163,0.033127297173321225
[OIII]4959,0.19183941770470628,0.04009757164270748
[OIII]5007,0.5755182531141189,0.04009757164270748
[OI]6300,0.14648204609986337,0.06697510859008875
[OI]6364,0.048827348699954455,0.06697510859008875
[NII]6548,0.4105137274588984,0.09937035408522185
[NII]6583,1.2315411823766953,0.09937035408522185
