Name,Flux,Error_flux
Hgamma,0.6791195183010698,0.08994477575832063
Hbeta,1.5510250764241482,0.11109156776049055
Halpha,5.728703722632232,0.13400107193913544
[SII]6716,1.242197939659602,0.09684447821958446
[SII]6731,1.0008652186125904,0.083475782763237
HeII4687,0.07381883480272194,0.06641636005874674
HeI5876,0.17242531924880164,0.03236278022728061
[OIII]4959,0.7265735057650347,0.21170968272958088
[OIII]5007,2.179720517295104,0.21170968272958088
[OI]6300,0.1729179217666962,0.04338893608412592
[OI]6364,0.0576393072555654,0.04338893608412592
[NII]6548,0.5048045017018424,0.1376555464527533
[NII]6583,1.5144135051055274,0.1376555464527533
