Name,Flux,Error_flux
Hgamma,0.8717265925219897,0.06155083488119378
Hbeta,2.1288075122355044,0.20161131800867174
Halpha,8.02065463441304,0.17978428986425138
[SII]6716,1.8608064625813474,0.07712636377319267
[SII]6731,1.230381857179575,0.05761384124125841
HeII4687,0.044320736202175845,0.01843872629595554
HeI5876,0.1246220211797838,0.026086842939779264
[OIII]4959,0.23422157697101464,0.05232432501237504
[OIII]5007,0.7026647309130439,0.05232432501237504
[OI]6300,0.19347870531387823,0.05738933778521025
[OI]6364,0.06449290177129274,0.05738933778521025
[NII]6548,0.8970688680254119,0.08654756160943465
[NII]6583,2.6912066040762355,0.08654756160943465
