Name,Flux,Error_flux
Hgamma,0.7978317270729333,0.092141806302396
Hbeta,2.973939606105364,0.19746398064592796
Halpha,16.485411732008775,0.1552879833937535
[SII]6716,2.2630104819203267,0.042723509685998425
[SII]6731,1.6573800663965226,0.03907985290725488
HeII4687,0.002486569963076417,0.006487254525431689
HeI5876,0.4236649266376123,0.07805583108628622
[OIII]4959,0.4933687961085539,0.17028507468191897
[OIII]5007,1.4801063883256615,0.17028507468191897
[OI]6300,0.20625354026787088,0.023601939450343928
[OI]6364,0.06875118008929029,0.023601939450343928
[NII]6548,1.492644847783078,0.07954248721304281
[NII]6583,4.477934543349234,0.07954248721304281
