Name,Flux,Error_flux
Hgamma,0.06372862785326049,0.015851127930658925
Hbeta,0.21507159461652503,0.017675725973543624
Halpha,0.9346233375399089,0.022262602582685923
[SII]6716,0.30350927002914097,0.006140947539258915
[SII]6731,0.19230501028841482,0.005347109778288095
HeII4687,0.0027430725895281126,0.003820262280310013
HeI5876,0.011722681380922272,0.00776859358270124
[OIII]4959,0.040426004813000856,0.017749859561240075
[OIII]5007,0.12127801443900257,0.017749859561240075
[OI]6300,0.027201927787622315,0.009426580371797808
[OI]6364,0.009067309262540771,0.009426580371797808
[NII]6548,0.0960740115472662,0.012949963193423336
[NII]6583,0.28822203464179863,0.012949963193423336
