Name,Flux,Error_flux
Hgamma,0.4689054459231224,0.0494757408733371
Hbeta,1.435998096683894,0.10912757403075242
Halpha,7.429451695888454,0.113684693312378
[SII]6716,1.3450499308125252,0.07054478944848357
[SII]6731,1.1129687556047894,0.017350434735073708
HeII4687,0.023050616151773805,0.009811274764866948
HeI5876,0.201993308986998,0.04168713305138867
[OIII]4959,0.1639818314237701,0.029412962551195618
[OIII]5007,0.4919454942713103,0.029412962551195618
[OI]6300,0.14426553086023938,0.020136286965903805
[OI]6364,0.04808851028674646,0.020136286965903805
[NII]6548,0.6841999951545213,0.0635100685591791
[NII]6583,2.052599985463564,0.0635100685591791
