Line,Flux,Error flux
Hgamma,0.41532615003699225,0.05171794416308608
Hbeta,1.2700067382937625,0.11719676208150738
Halpha,5.460958348760185,0.0963889500607796
[SII]6716,1.36704567312437,0.06016204857708988
[SII]6731,1.0558817452444182,0.0642540154274081
HeII4687,0.0319886542801157,0.028811175526656133
HeI5876,0.10651986639065149,0.011296449974568258
[OIII]5007_d,0.8564076076056503,0.0462290343094244
[OI]6300_d,0.26308224644974004,0.0522540536949255
[NII]6583_d,2.737080403077529,0.07224574193937094
