Name,Flux,Error flux
Hgamma,0.07824133257720606,0.01975165421298672
Hbeta,0.23661070560045575,0.034835673624479306
Halpha,0.7465351861571904,0.024642603697144144
[SII]6716,0.11857168277344086,0.030037536885971185
[SII]6731,0.12426338402988507,0.015931468130822458
HeII4687,0.014679711636338723,0.025371994284808543
HeI5876,0.05278493992166774,0.028495747484398187
[OIII]5007_d,0.152187647950223,0.037127936157514765
[OI]6300_d,0.02675052449531367,0.02185131262774154
[NII]6583_d,0.38533959352320674,0.025320435460295887
