Name,Flux,Error_flux
Hgamma,0.08743897189640387,0.034810378364772146
Hbeta,0.3153385200698477,0.025755549600033352
Halpha,0.881845285141958,0.029813132100670547
[SII]6716,0.24074779405838118,0.024059623345061946
[SII]6731,0.15112576737824615,0.009561693424212724
HeII4687,0.021402925674161542,0.008062488438829271
HeI5876,0.051020454750415195,0.007194166915129735
[OIII]4959,0.08885901483876152,0.02123968175099164
[OIII]5007,0.26657704451628456,0.02123968175099164
[OI]6300,0.046317247880013186,0.02804896093976816
[OI]6364,0.015439082626671062,0.02804896093976816
[NII]6548,0.07520968829121161,0.04693305778870458
[NII]6583,0.22562906487363482,0.04693305778870458
