Name,Flux,Error_flux
Hgamma,0.04332884263923344,0.028766691878662258
Hbeta,0.26675532099914984,0.025468571149107035
Halpha,2.2975720375602484,0.024363302896907527
[SII]6716,0.5950217801631922,0.02641885391302237
[SII]6731,0.41658116646057436,0.016014109261994102
HeII4687,0.014009110199962137,0.012297963721077795
HeI5876,0.0590083788688186,0.010682576356917094
[OIII]4959,0.07676397075924332,0.024569574958633617
[OIII]5007,0.23029191227772997,0.024569574958633617
[OI]6300,0.12059850365912234,0.012501212032014718
[OI]6364,0.040199501219707445,0.012501212032014718
[NII]6548,0.19130616566146266,0.07150026129597574
[NII]6583,0.573918496984388,0.07150026129597574
