Name,Flux,Error_flux
Hgamma,0.09004577811672626,0.02203555500906975
Hbeta,0.2479662782161555,0.02647026386618823
Halpha,1.1221061390597806,0.03393701316622062
[SII]6716,0.2140577205842433,0.007860454595291742
[SII]6731,0.14338757078012235,0.009409121321074137
HeII4687,0.0,0.008716808041798835
HeI5876,0.023829323074792647,0.006095552650833337
[OIII]4959,0.017513801954372403,0.006711133409414687
[OIII]5007,0.05254140586311721,0.006711133409414687
[OI]6300,0.03504152168732861,0.0071493710731046906
[OI]6364,0.011680507229109537,0.0071493710731046906
[NII]6548,0.1365456212524472,0.021834558189752266
[NII]6583,0.40963686375734165,0.021834558189752266
