Name,Flux,Error_flux
Hgamma,0.09191371894084266,0.020353756133310526
Hbeta,0.21453965561981764,0.019255025501455303
Halpha,0.8761042940871125,0.024209083817880207
[SII]6716,0.1569311522382428,0.010108008199040171
[SII]6731,0.10485066654610065,0.005447944937873183
HeII4687,0.008356615958913472,0.0024778473422447217
HeI5876,0.023004173203342526,0.005409217572495005
[OIII]4959,0.06181964590490294,0.016047512731164667
[OIII]5007,0.1854589377147088,0.016047512731164667
[OI]6300,0.017772293210209202,0.012012408125569009
[OI]6364,0.005924097736736401,0.012012408125569009
[NII]6548,0.05466155686881758,0.014166768135685607
[NII]6583,0.16398467060645275,0.014166768135685607
