Name,Flux,Error_flux
Hgamma,0.7054483115442082,0.03565650921753316
Hbeta,1.8962383041292654,0.05969917686940315
Halpha,10.173918466250036,0.19504023950177626
[SII]6716,1.9295574829306104,0.02842865629358105
[SII]6731,1.4866108714055186,0.040424289295465474
HeII4687,0.04939528427580459,0.014519916254053246
HeI5876,0.28842639115490787,0.02346979632558811
[OIII]4959,0.18660119512841025,0.06820089876332953
[OIII]5007,0.5598035853852308,0.06820089876332953
[OI]6300,0.2996855683236912,0.01618227154665214
[OI]6364,0.0998951894412304,0.01618227154665214
[NII]6548,1.4716712692884466,0.09273746286140834
[NII]6583,4.41501380786534,0.09273746286140834
